timestamp,IAQ_Accuracy,IAQ,Gas,eCO2 ppm,bVOCe ppm
2020-07-26 07:36:31,0,25.00,74931,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:34,0,25.00,75134,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:37,0,25.00,75543,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:40,0,25.00,75406,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:43,0,25.00,75543,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:46,0,25.00,75543,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:49,0,25.00,76658,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:52,0,25.00,75681,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:55,0,25.00,75134,500.000000000000000,0.4999999403953552246093750
2020-07-26 07:36:58,0,25.00,75406,500.000000000000000,0.4999999403953552246093750
